Participant-Surname,Experiment-Group,Drainage-Region-Set,Drainage-Region-ID,Drainage-Region-Area-(km2),Drainage-Region-Area-Observed-(km2),Start-Date-(decimal-years),End-Date-(decimal-years),Rate-of-Mass-Change-(Gt/yr),Rate-of-Mass-Change-Uncertainty-(Gt/yr)
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1993.4987, 1994.4958,  0.10148E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1994.4987, 1995.4958,  0.95277E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1995.4987, 1996.4958,  0.96682E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1996.4987, 1997.4958,  0.80264E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1997.4987, 1998.4958,  0.91041E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1998.4987, 1999.4958,  0.11922E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 1999.4987, 2000.4958,  0.79517E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2000.4987, 2001.4958,  0.46437E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2001.4987, 2002.4958,  0.71630E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2002.4987, 2003.4958,  0.81298E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2003.4987, 2004.4958,  0.12832E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2004.4987, 2005.4958,  0.11022E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2005.4987, 2006.4958,  0.69639E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2006.4987, 2007.4958,  0.81647E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2007.4987, 2008.4958,  0.63545E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2008.4987, 2009.4958,  0.19129E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2009.4987, 2010.4958,  0.85598E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2010.4987, 2011.4958,  0.19677E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2011.4987, 2012.4958,  0.93342E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2012.4987, 2013.4958,  0.89874E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2013.4987, 2014.4958,  0.91418E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2014.4987, 2015.4958,  0.73092E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2015.4987, 2016.4958,  0.11465E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2016.4987, 2017.4958,  0.93864E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2017.4987, 2018.4958,  0.13412E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2018.4987, 2019.4958,  0.13822E+03,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2019.4987, 2020.4958,  0.93193E+02,  0.11927E+02
Niwano,SMB,Rignot,  Ap-B,  0.70162E+06,  0.70162E+06, 2020.4987, 2021.4958,  0.92491E+02,  0.11927E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1979.4987, 1980.4958, -0.11473E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1980.4987, 1981.4958, -0.14666E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1981.4987, 1982.4958, -0.18436E+02,  0.23425E+02
Niwano,SMB,Rignot,   B-C,  0.13779E+07,  0.13779E+07, 1982.4987, 1983.4958, -0.57784E+01,  0.23425E+02
